module,attributes,classifier,technique,metric,score
ggg,asmt,nn,ae,accuracy,0.977762494268684
ggg,asmt,nn,ae,fscore,0.0
ggg,asmt,nn,ae,precision,0.0
ggg,asmt,nn,ae,recall,0.0
ggg,stdnt,nn,ae,accuracy,0.977762494268684
ggg,stdnt,nn,ae,fscore,0.0
ggg,stdnt,nn,ae,precision,0.0
ggg,stdnt,nn,ae,recall,0.0
ggg,abd,nn,ae,accuracy,0.9770747363594682
ggg,abd,nn,ae,fscore,0.0
ggg,abd,nn,ae,precision,0.0
ggg,abd,nn,ae,recall,0.0
ggg,abi,nn,ae,accuracy,0.9773039889958736
ggg,abi,nn,ae,fscore,0.0
ggg,abi,nn,ae,precision,0.0
ggg,abi,nn,ae,recall,0.0
ggg,asmt_stdnt,nn,ae,accuracy,0.977762494268684
ggg,asmt_stdnt,nn,ae,fscore,0.0
ggg,asmt_stdnt,nn,ae,precision,0.0
ggg,asmt_stdnt,nn,ae,recall,0.0
ggg,asmt_abd,nn,ae,accuracy,0.977762494268684
ggg,asmt_abd,nn,ae,fscore,0.0
ggg,asmt_abd,nn,ae,precision,0.0
ggg,asmt_abd,nn,ae,recall,0.0
ggg,asmt_abi,nn,ae,accuracy,0.977762494268684
ggg,asmt_abi,nn,ae,fscore,0.0
ggg,asmt_abi,nn,ae,precision,0.0
ggg,asmt_abi,nn,ae,recall,0.0
ggg,stdnt_abd,nn,ae,accuracy,0.9775332416322788
ggg,stdnt_abd,nn,ae,fscore,0.0
ggg,stdnt_abd,nn,ae,precision,0.0
ggg,stdnt_abd,nn,ae,recall,0.0
ggg,stdnt_abi,nn,ae,accuracy,0.977762494268684
ggg,stdnt_abi,nn,ae,fscore,0.0
ggg,stdnt_abi,nn,ae,precision,0.0
ggg,stdnt_abi,nn,ae,recall,0.0
ggg,asmt_stdnt_abd,nn,ae,accuracy,0.9775332416322788
ggg,asmt_stdnt_abd,nn,ae,fscore,0.0
ggg,asmt_stdnt_abd,nn,ae,precision,0.0
ggg,asmt_stdnt_abd,nn,ae,recall,0.0
ggg,asmt_stdnt_abi,nn,ae,accuracy,0.9768454837230628
ggg,asmt_stdnt_abi,nn,ae,fscore,0.00045840018336007336
ggg,asmt_stdnt_abi,nn,ae,precision,0.16666666666666666
ggg,asmt_stdnt_abi,nn,ae,recall,0.010309278350515464
